,bms_number,category,coordinates,responsibility,status,date,searched_adress,message,message_links
1517,4767,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6735934413208, 9.15825433881131",Technische Betriebe,Gelöst,01.05.2021,"Reichenaustraße 190, 78467 Konstanz, Germany                    ","Der Fussweg Aufgang auf der IBIS Seite ist eigentlich immer mit Fastfood-Müll verschmutzt. An dieser Stelle (es ist auch etwas durch die Brücke überdacht, weshalb dort öfters Leute auch sitzen) wäre auch ein öffentlicher Mülleimer sinnvoll.",
1519,4769,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6699252138796, 9.17899661369955",Technische Betriebe,Gelöst,03.05.2021,"Ernst-Bärtschi-Weg 4, 78467 Konstanz, Germany                    ","Beschilderung der Hausnummern falsch. Ernst-Bärtschi-Weg 4, 6 und 8 befinden sich nicht innerhalb des Blocks sondern außerhalb. Daher ist 1-9 nicht korrekt. Das führt leider häufiger dazu, dass die Adresse nicht gefunden wird, weil sie zum Beispiel mit den Adressen im Pauline-Gutjahr-Weg verwechselt wird.",
1523,4773,Beleuchtung > Straßenlaternen defekt,"47.6721205980767, 9.16406229649179",Stadtwerke Konstanz,Gelöst,06.05.2021,"Reichenaustraße 178, 78467 Konstanz, Germany                    ",Lampe Nr 10 defekt,
1524,4774,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6812212977626, 9.16997943073511",Technische Betriebe,Gelöst,06.05.2021,"Taborweg 36A, 78467 Konstanz, Germany                    ","Die Schwellen im Taborweg befinden sich in einem total desolaten Zustand was die jeweiligen Abschrägungen angeht. Tiefe Löcher mit scharfen Kanten sorgen trott Schritttempo für harte Schläge auf die Reifen und Radlager.
Flicken mit einer Schaufel Kaltasphalt hilft nicht. Gibt in kürzester Zeit wieder neue Löcher. Die Schrägungen müssten komplett erneuert werden. Die erste Schrägung beim Alten Bannweg wurde im Rahmen des Taborwegausbaus  neu gemacht. Das ist die einzige, die auf einer Seite ok ist. Der Abstieg von der Schwelle aber schlimm.",
1525,4775,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6694411186364, 9.17997468262911",Technische Betriebe,Gelöst,06.05.2021,"Ernst-Bärtschi-Weg 14, 78467 Konstanz, Germany                    ","Standort: Leopold-Spiegel-Weg Ecke Ernst-Bärtschi-Weg.
Müllverschmutzung.",
1526,4776,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.6775393462852, 9.20807149261236",Technische Betriebe,Gelöst,06.05.2021,"Überlinger Str. 21, 78464 Konstanz, Germany                    ",Straßenmarkierungen fehlen bzw. sind ausgeblichen. Die Markierungen der Sperrfläxhen müssten nachgezogen werden im Sommer werden die Flächen sehr oft beparkt und es kommt regelmäßig zu gefährlichen Situationen mit Radfahrern auf Grund der stark eingeschränkten Sicht im Kreuzungsbereich.,
1527,4777,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6755006816272, 9.18365454136312","Behrendt, Chrtistian",Gelöst,06.05.2021,"Goebelbeckerstraße 3, 78467 Konstanz, Deutschland                    ",Hier muss jeder den Bückling machen oder auf die Strasse ausweichen.,
1528,4778,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6847874915769, 9.14744666448659",Technische Betriebe,Gelöst,07.05.2021,"Riedstraße 28, 78467 Konstanz, Germany                    ","In der Riedstraße während des Regens zu Pfützen wo Autos durchfahren , lauft man auf dem Fußgängerweg wird man nass , teilweise ist die Straße überschwemmt und es fließt kein Wasser ab...",
1529,4779,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6772593, 9.2099085",Technische Betriebe,Gelöst,07.05.2021,"Fohrenbühlweg 7, 78464 Konstanz, Germany                    ",Im Sommer 2020 wurden die Platten an der Tischtennisplatte neu gelegt. Im Frühjahr 2021 sind die Platten großteils gerissen. Es scheint so als ob der Unterbau nicht fachgerecht aufgebaut worden ist.,
1530,4780,Beleuchtung > Straßenlaternen defekt,"47.7333942060961, 9.11862939269671",Stadtwerke Konstanz,in Bearbeitung,08.05.2021,"Hesselbergweg 17, 78465 Konstanz, Germany                    ",Lampe flackert bzw. ist aus.,
1541,4791,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.678217839027, 9.1949394637112",Technische Betriebe,Gelöst,08.05.2021,"Sonnenbühlstraße 85, 78464 Konstanz, Germany                    ","1) Splitt auf Straße. GEFAHR für Radfahrer die aus der Kurve runterfahren. 2) Ebenso am Wegrand verschmutzt, es könnte mal wieder die Kehrmaschine vorbeikommen.",
1543,4793,Beleuchtung > Straßenlaternen defekt,"47.6903840487845, 9.13084543964817",Stadtwerke Konstanz,Gelöst,08.05.2021,"Bleichenweg 3, 78467 Konstanz, Germany                    ","Laterne Nr.3 im Bleichenweg leuchtet nicht mehr!
(Adresssuche nach: Bleichenweg 78467 Konstanz )",
1544,4794,Müll/Sauberkeit > Illegaler Müll,"47.680675, 9.1873642",Amt für Stadtplanung und Umwelt,Ungelöst Abgeschlossen,10.05.2021,"Werner-Sombart-Straße 21-23, 78464 Konstanz, Germany                    ","In unserer Strasse wird leider regelmässig Müll gelagert und nicht wieder entsorgt. Der Müllplatz befindet sich an der Strasse vor unserem Fahrradhäuschen der Reihenhäuser in der Werner-Sombart-Strasse. Ich habe ein entsprechendes Foto hinzugefügt. Bitte helfen Sie uns dabei, dass hier kein weiterer Müll illegal entsorgt werden kann.
Vielen Dank! 
(Adresssuche nach: Werner-Sombart-Strasse)",
1545,4795,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6744261250799, 9.19512459518752","Behrendt, Chrtistian",Gelöst,11.05.2021,"Egelseeweg 6a, 78464 Konstanz, Germany                    ","die Hecke ist so hoch, dass es unmöglich ist, Autos oder Radfahrer zu sehen, die von links kommen.",
1546,4796,"Straßen, Fahrrad & Verkehr > Radwege schadhaft","47.6680173272542, 9.18043230439154",Stadtverwaltung,Gelöst,11.05.2021,"Mainaustraße 2, 78464 Konstanz, Germany                    ","Lebensgefährliche, ungesicherte Baustelle. Der Radweg endet In der Kurve an einem Metallbügel. Dieser ist beim heranfahren nicht sichtbar. Zudem ist der Winkel schlecht gewählt und die Laterne, bzw. Der Bordstein lassen ein Ende des Weges nicht erkennen. Spätestens bei Nacht ist dieser Zustand unverantwortlich, hier ist Eile geboten.",
1547,4797,Müll/Sauberkeit > Illegaler Müll,"47.6825333315042, 9.17178943614318",Technische Betriebe,Gelöst,12.05.2021,"Taborweg 46, 78467 Konstanz, Germany                    ",In dem kleinen Waldstück zum Seiteneingang vom Friedhof wurde mal wieder Sperrmüll abgelegt.,
1548,4798,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6754970084142, 9.18405334576605","Behrendt, Chrtistian",Gelöst,12.05.2021,"Sierenmoosstraße 1, 78464 Konstanz, Germany                    ",hier wurde das vorab gemeldete Problem nicht gelöst. Die Mindestbreite besonders im Kopfbereich ist an den ganzen Grundstück ist nicht gegeben.,
1549,4799,Hinweise > Hinweise,keine,Technische Betriebe,,12.05.2021,Gelöst,Straße wurde beschmiert,
1550,4800,Beleuchtung > Straßenlaternen defekt,"47.7480763904208, 9.13112419973171",Stadtwerke Konstanz,Gelöst,12.05.2021,"Untere Bündt 6, 78465 Konstanz, Germany                    ","Auf dem Tobelweg (Fußweg zwischen St.- Leonhard-Weg und Heinrich von Tettingen Str. oberhalb der Kapelle) sind zwei Laternen defekt. Der Fußweg ist dadurch in großen Teilen unbeleuchtet.
Es handelt sich um Laterne Nr. 11 und die Laterne am Zugang zur Kapelle (ohne Nr.)",
1551,4801,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6804974, 9.1793479",Technische Betriebe,Gelöst,12.05.2021,"Stockackerweg 55, 78464 Konstanz, Germany                    ",Der Weg zum Bismarkturm ist durch die Fahrzeuge zu den Kleingärten und die Weinbauaktivitäten (Ein- und Ausfahrt zum Weinberg) stark beschädigt (Schlaglöcher) und verschlammt.,
1552,4802,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6811266902952, 9.16998634171643",Technische Betriebe,Gelöst,13.05.2021,"Taborweg 36A, 78467 Konstanz, Germany                    ",Große Schlaglöcher an den Bremsschwellen im Taborweg,
1553,4803,Müll/Sauberkeit > Illegaler Müll,"47.6825332347824, 9.17091815594164",Technische Betriebe,Gelöst,13.05.2021,"Taborweg 46, 78467 Konstanz, Germany                    ",Müll im Wald,
1554,4804,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6723808815145, 9.18395608663559","Behrendt, Chrtistian",Gelöst,13.05.2021,"Zähringerpl. 18, 78464 Konstanz, Germany                    ",Strauch überwuchert Gehweg,
1555,4805,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.691667, 9.160278",Technische Betriebe,Gelöst,13.05.2021,"Urisbergweg 50, 78467 Konstanz, Germany                    ","Die Grillstelle auf dem Tabor war am Sonntag (9.5.)  total vermüllt, Glasscherben lagen herum, ein wirklich nicht einladender Anblick! Mülleimer sind zwar vorhanden, wirken aber nicht so, als ob sie regelmäßig geleert werden würden.
Wenn Konstanz wirklich ansprechende Grillstellen zur Verfügung stellen möchte, dürfen sie so nicht aussehen!
Auf dem gleichen Spaziergang ärgerte ich mich über Müll am Wegesrand auf dem Fußweg zum Wollmatinger Friedhof aus Richtung Urisberg kommend. 
(Adresssuche nach: Taborberg)",
1557,4807,Müll/Sauberkeit > Mülleimer überfüllt,"47.660339104109, 9.17669721773277",Technische Betriebe,Gelöst,14.05.2021,"Bahnhofpl. 2, 78462 Konstanz, Germany                    ",öffentliche Müllbehälter auf der Markstätte quellen über - kein gutes Bild von der Stadt Konstanz für die jetzt wieder kommenden Gäste!,
1558,4808,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.6699277389846, 9.17576312888497",Stadtverwaltung,Gelöst,14.05.2021,"Reichenaustraße 9, 78467 Konstanz, Germany                    ","Bedarfsampel erkennt Roller nicht
Es ist mir mittlerweile mehrfach passiert, dass ich an der Ampel aus Richtung Zähringerplatz mit dem Roller stand und sie mich nicht erkannt hat. Es vergehen dann mehrere Ampelphasen und man bekommt keine Grüne Phase.
Liebe Grüße",
1559,4809,Müll/Sauberkeit > verschmutzte Straßen und Plätze,"47.6597283, 9.1732338",Technische Betriebe,Gelöst,14.05.2021,"Obere Augustinergasse 1, 78462 Konstanz, Germany                    ","Volle Papiertaschen rund um die Mülleimer heute 17.00 Uhr 
(Adresssuche nach: Augustiner Platz )",
1560,4810,Müll/Sauberkeit > Mülleimer überfüllt,"47.6603201, 9.1760054",Technische Betriebe,Gelöst,14.05.2021,"Marktstätte 20, 78462 Konstanz, Germany                    ","Mülleimer li neben der Unterführung- es stehen am 🗑 diverse Papiertaschen von McDonald und H+M
(Adresssuche nach: Martstätte)",
1561,4811,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6750735485873, 9.20609967768597",Technische Betriebe,Gelöst,15.05.2021,"Lindauer Str. 75, 78464 Konstanz, Germany                    ",Schlagloch am Gulli.,
1563,4813,Müll/Sauberkeit > Illegaler Müll,"47.6874892178969, 9.143719605244",Technische Betriebe,Gelöst,15.05.2021,"Mannheimer Str. 38, 78467 Konstanz, Germany                    ","alte couchgarnitur (weiss, 3 teile) seit einigen tagen unter den kastanienbäumen abgelegt.",
1564,4814,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.671312, 9.1930027",Technische Betriebe,Gelöst,15.05.2021,"Zeppelinstraße 12, 78464 Konstanz, Germany                    ","Ich habe die alte Meldung einfach kopiert: 
""Erneut sehr viele gefährliche Schlaglöcher. Evtl. sollte man sich Gedanken darüber machen, ob es nicht an der Zeit wäre Teile der Straße neu zu asphaltieren, anstatt 2-3 mal im Jahr die Schlaglöcher aufzufüllen.""
(Adresssuche nach: zeppelinstraße)",
1568,4818,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.674469388791, 9.18265975661296",Technische Betriebe,Gelöst,17.05.2021,"Wollmatinger Str. 1, 78467 Konstanz, Germany                    ","Tiefe, gefährliche Schlaglöcher",
1569,4819,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6752432232948, 9.16893385886672",Technische Betriebe,Gelöst,17.05.2021,"Weiherhofstraße 14, 78467 Konstanz, Deutschland                    ","Straße hat viele Schlaglöcher, ständig voll mit Wasser
(Adresssuche nach: Weiherhofstr. 14)",
1570,4820,Müll/Sauberkeit > Illegaler Müll,"47.6656379129755, 9.17832389430259",Technische Betriebe,Gelöst,17.05.2021,"Konzilstraße 21, 78462 Konstanz, Deutschland                    ",Viele Glasflaschen und Müll auf den unteren Absatz ... :-(,
1571,4821,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.6731523347194, 9.18357006889028",Stadtverwaltung,Gelöst,18.05.2021,"Zähringerpl. 11, 78464 Konstanz, Germany                    ",Der Drücker der Fahrradampel ist nach neulich erfolgter Reparatur wieder sehr stark gelockert und wackelt stark.,
1573,4823,"Pflanzenwuchs > Verkehrsbehindernder Heckenwuchs, Sträucher","47.6759937867344, 9.19515852108817","Behrendt, Chrtistian",Gelöst,18.05.2021,"Elblingweg 13, 78464 Konstanz, Germany                    ","Ein Busch auf dem angrenzenden Privatgelände ragt derart in den Gehweg hinein, dass dieser nicht bis zur Straßenecke genutzt werden kann. Dadurch muss auf der Straße gegangen werden.",
1574,4824,"Straßen, Fahrrad & Verkehr > Schilder unkenntlich","47.7293164078972, 9.11924073724649",OV Dettingen-Wallhausen,Gelöst,18.05.2021,"Konstanzer Str. 41, 78465 Konstanz, Deutschland                    ",Geschwindigkeitsanzeige schlecht sichtbar. Sie ist von Büschen zugewachsen.,
1575,4825,"Straßen, Fahrrad & Verkehr > Fahrrad gefunden","47.6840729, 9.1575785",Bürgerbüro,Gelöst,19.05.2021,"Herosestraße 4a, 78467 Konstanz, Germany                    ","Seit drei Wochen ist dort ein herrenloses Fahhrad an den Lichtmasst gekettet und behindert den Fussgängerweg, sowohl für Rollstuhlfahrer als auch Kinderwägen.
(Adresssuche nach: banater str)",
1576,4826,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6731696635044, 9.16047683005118",Technische Betriebe,Gelöst,20.05.2021,"Reichenaustraße 184, 78467 Konstanz, Germany                    ","An der Einfahrt in den Kreisel ist der Abfluss seit längerem verstopft und es bildet sich jeden Tag eine grosse Pfütze.
Ausserdem ist der Abfluss an der Baustelle des neuen Bürogebäudes neben der Agip Tankstelle (Fahrradstreifen) durch Müll und Dreck der Baustelle verstopft. Auch dieser läuft nicht ab.",
1577,4827,"Straßen, Fahrrad & Verkehr > Gullideckel/ Kanal verstopft","47.6728526435022, 9.17133655577987",Technische Betriebe,Gelöst,20.05.2021,"Markgrafenstraße 63, 78467 Konstanz, Germany                    ","Gullideckel mit Querverstrebung vor dem Druchgang in den Petershausner Park ist verstopft.
Wasser fliesst nicht ab.",
1578,4828,"Straßen, Fahrrad & Verkehr > Ampel defekt","47.6829370589043, 9.20335149519921",Meyer,Gelöst,20.05.2021,"Mainaustraße 160, 78464 Konstanz, Germany                    ","Es tut mir echt leid es nun zum vierten Mal melden zu müssen: Der Sensor der Fahrradampel von der Fähre kommend ist (mal wieder) kaputt, d.h. die Radfahrer warten dort manchmal ampelphasenlang und es tut sich nichts (bis die Ortskundigen die Fußgängerampel nutzen oder einfach fahren). Der Sensor versagt auch auch wenn 5 Leute oder mehr warten.
Ich habe registriert das dort schon mehrfach dran gearbeitet wurde, und es auch schon mal zeitweise funktioniert hat, aber irgendwie leider nie von Dauer.
Einfache Lösung: Die Fahrradstadt Konstanz sieht Radfahrer endlich als echte Verkehrsteilnehmer an und bietet ihnen IMMER eine Grünphase ? Bei den vergleichsweise langen Grünphasen für Autos muss es doch möglich sein die paar Sekunden an die anderen Verkehrsteilnehmer abzutreten.",
1579,4829,"Straßen, Fahrrad & Verkehr > Parkscheinautomat defekt","47.6720126, 9.1649473",Stadtverwaltung,Gelöst,21.05.2021,"Reichenaustraße 150, 78467 Konstanz, Germany                    ","Betrifft Parkplatz Bodenseeforum, Reichenaustraße:
Beschwerde eines Gastes: Ich bin mit dem Auto angereist und wollte Park and Ride am Bodensee Forum.
Sehr ärgerlich ist, dass ich das Ticket weder mit EC Karte bezahlen konnte, noch das der Automat Geldscheine nimmt.
Sondern nur (mittelalterlich) Münzen.
Da ich leider nicht genug Münzen hatte - und gerade bei P&R Parkplätzen auch nicht groß Geschäfte zum Geldwechseln vorhanden sind - musste ich doch in die Stadt fahren.
(Adresssuche nach: Parkplatz Bodenseeforum)",
1580,4830,"Straßen, Fahrrad & Verkehr > Straßenschäden","47.6750821, 9.1863077",Technische Betriebe,Gelöst,21.05.2021,"Beyerlestraße 11A, 78464 Konstanz, Germany                    ","Die gesamte Beyerlestraße von Allmansdorferstraße bis Ulandstraße hat massive Löcher in der Straße und das ist jetzt gerade wieder sehr gefählich nachdem die Schule begonnen hat.
Bitte um schnelle bearbeitung.
(Adresssuche nach: Beyerlestraße)",
1582,4832,Öffentliche Orte/Ufer > Spielplätze schadhaft / verunreinigt,"47.6792039428836, 9.19755455106497",Technische Betriebe,Gelöst,23.05.2021,"Peter-Rosegger-Weg 29, 78464 Konstanz, Germany                    ",Ein Haltegriff der Wippe ist lose.,
1584,4834,Müll/Sauberkeit > Mülleimer überfüllt,"47.6763815183999, 9.18776759425899",Technische Betriebe,Gelöst,23.05.2021,"Höhenweg 14, 78464 Konstanz, Germany                    ",Mülleimer von Bauzaun versperrt,
1585,4835,"Straßen, Fahrrad & Verkehr > Fußwege schadhaft","47.6919355050752, 9.18089847257544",Technische Betriebe,Ungelöst Abgeschlossen,24.05.2021,"Langhardtstraße, 78464 Konstanz, Germany                    ",Baum umgestürzt und quer über Weg (Allmannsdorfer Weg) zwischen Uni-Parkplatz Nord und Botanischem Garten.,
1586,4836,Müll/Sauberkeit > Mülleimer überfüllt,"47.6604586730116, 9.17668577460094",Technische Betriebe,Gelöst,24.05.2021,"Marktstätte 1/F, 78462 Konstanz, Deutschland                    ","Als Anwohner in der Marktstätte freue ich mich sehr über die Gestaltung der neuen Treppenanlage  vor der Unterführung von der Marktstätte zum Hafen. Besonders die Palmen machen sich gut. Was sich weniger gut macht, ist der häufig überquellende Müllschlucker. Meines Erachtens ist ein Stelle für Müllentsorgung auf diesem stark frequentierten Platz viel zu wenig. Siehe die Bilder, die ich an Pfingsten gemacht habe. Schade für den schönen Platz. 
Viele Grüsse 
[...]",
